"State","Permit_ID","Permittee","Mine_Name","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Avail_Bond","Full_Bond","Min_Deficit","Mid_Deficit","Max_Deficit","Mine_Status","Bond_Status","Acres","Post_SMCRA"
"West Virginia","S200798","WV RECLAIM CO, LLC","BULLPEN FORK SURFACE MINE","[2396, 2395]",555.00233587,447205.581422,670808.372055,894411.162693,1319760,1319760,-872554.418578,-648951.627945,-425348.837307,"A4-Active, No coal removed","Bonded",350.99,1
"West Virginia","S200409","WV RECLAIM CO, LLC","Tomahawk Surface Mine","[2407]",392.48029308,250343.84989,375515.77477,500687.69978,2095000,2095000,-1844656.15011,-1719484.22523,-1594312.30022,"A4-Active, No coal removed","Bonded",418.3,1
"West Virginia","S200697","WV RECLAIM CO, LLC","WINOC NO. 2 SURFACE MINE","[2405, 2406]",874.20756882,930192.122625,1395288.18383,1860384.24517,4041240,4041240,-3111047.877375,-2645951.81617,-2180855.75483,"A4-Active, No coal removed","Bonded",846.89,1
"West Virginia","S500420","WYOMING EAGLE, LLC","Still Run Surface Mine No. 2","[2258]",81.7398081,18717.62395,28076.43592,37435.24789,326600,326600,-307882.37605,-298523.56408,-289164.75211,"AM-Active, Moving Coal","Bonded",150,1
"Virginia","1101914","A & G COAL CORPORATION","SAWMILL HOLLOW #3 MINE","[679, 670, 669, 667, 668, 672, 666, 685, 681, 695, 674]",3798.85782434,2206786.838729,3310180.25823,4413573.677511,5145000,5145000,-2938213.161271,-1834819.74177,-731426.322489001,"ACT/NOT PRDCNG","Bonded",2777.92,1
"Virginia","1102058","A & G COAL CORPORATION","BLACKWOOD STRIP","[883]",124.33272465,45128.204105,67692.30616,90256.40822,618000,618000,-572871.795895,-550307.69384,-527743.59178,"ACT/NOT PRDCNG","Bonded",205.2,1
"Virginia","1502057","A & G COAL CORPORATION","STRAIGHT FORK SURFACE MINE","[849, 831, 840, 852, 816, 824]",704.20047089,349949.227995,524923.842012,699898.455986,4698000,4698000,-4348050.772005,-4173076.157988,-3998101.544014,"ACT/NOT PRDCNG","Bonded",1792.04,1
"Virginia","1101905","A & G COAL CORPORATION","LOONEY RIDGE SURFACE MINE #1","[675, 683, 686]",1054.78355436,1060931.92841,1591397.892576,2121863.856698,1559400,1559400,-498468.07159,31997.892576,562463.856698,"ACT/NOT PRDCNG","Bonded",1233.47,1
"Virginia","1102054","A & G COAL CORPORATION","MEG-LYNN MILL BRANCH MINE","[809, 810]",176.61478823,115315.30706,172972.96059,230630.61409,1106200,1106200,-990884.69294,-933227.03941,-875569.38591,"ACT/NOT PRDCNG","Bonded",1279.73,1
"Virginia","1102003","A & G COAL CORPORATION","POSSUM TROT SURFACE MINE","[790, 792]",405.51188274,187717.52508,281576.2876,375435.05012,543000,543000,-355282.47492,-261423.7124,-167564.94988,"ACT/NOT PRDCNG","Bonded",387.47,1
"Virginia","1101991","A & G COAL CORPORATION","CRAIGER HOLLOW SURFACE MINE","[818]",233.3062258,168994.33069,253491.49601,337988.66137,519600,519600,-350605.66931,-266108.50399,-181611.33863,"ACT/NOT PRDCNG","Bonded",482.7,1
"Virginia","1101918","A & G COAL CORPORATION","CANEPATCH SURFACE MINE","[848, 838]",2208.14661469,938989.368263,1408484.052414,1877978.736689,2220000,2220000,-1281010.631737,-811515.947586,-342021.263311,"ACT/NOT PRDCNG","Bonded",751.86,1
"Virginia","1101975","A & G COAL CORPORATION","CANEPTACH/SARGENT HOLLOW SURFACE MINE, JOB 20A","[895]",383.81593457,220352.19819,330528.2973,440704.39639,2421600,2421600,-2201247.80181,-2091071.7027,-1980895.60361,"ACT/NOT PRDCNG","Bonded",913.84,1
"Virginia","1101669","A & G COAL CORPORATION","STRIP #6","[1172]",162.73277787,93419.595465,140129.393194,186839.190914,0,0,93419.595465,140129.393194,186839.190914,"Released","Released",0,NA
"Virginia","1101740","A & G COAL CORPORATION","STRIP #9","[1326, 1327, 1315]",990.60486097,461466.219787,692199.32972,922932.439614,0,0,461466.219787,692199.32972,922932.439614,"Released","Released",0,NA
"Virginia","1500883","AMBROSE BRANCH COAL COMPANY, INC.","CAVENGER HOLLOW SURFACE MINE","[1035, 1037]",603.33822525,331123.358678,496685.037987,662246.717353,450800,450800,-119676.641322,45885.0379869999,211446.717353,"ACT/NOT PRDCNG","Bonded",240.87,1
"Virginia","1100631","BARNETTE CONTRACTORS","","[1030]",165.48096888,102901.92254,154352.88383,205803.84507,0,0,102901.92254,154352.88383,205803.84507,"Released","Released",0,NA
"Virginia","1102354","BIG D ENTERPRISES, INC.","CARICO RIDGE HIGHWALL MINE","[1254]",393.64363039,421605.3773,632408.06609,843210.75474,156000,156000,265605.3773,476408.06609,687210.75474,"ACTIVE","Bonded",56.08,1
"Virginia","1601035","C. & K. COAL COMPANY, INC.","FROG POND","[1276]",93.19817715,85529.4227,128294.1341,171058.8454,0,0,85529.4227,128294.1341,171058.8454,"Released","Released",0,NA
"Virginia","1102050","CALIBER ENERGY, INC.","COON BRANCH SURFACE/AUGER MINE","[1271]",410.79147019,302343.351134,453515.026693,604686.702277,0,0,302343.351134,453515.026693,604686.702277,"Released","Released",0,NA
"Virginia","1102343","CIVIL, LLC","JONES FORK #2 MINE","[1887]",114.7282664,36335.550788,54503.326178,72671.10158,3759100,3759100,-3722764.449212,-3704596.673822,-3686428.89842,"ACT/NOT PRDCNG","Bonded",94.16,1
"Virginia","1600921","CLINCHFIELD COAL COMPANY","OLD SMITH GAP MINE","[1445]",111.1011467,30640.45792,45960.68688,61280.91585,0,0,30640.45792,45960.68688,61280.91585,"Released","Released",0,NA
"Virginia","1101445","CLINCHFIELD COAL COMPANY","COBRA PIT #1","[1348]",90.48119912,39100.15503,58650.23254,78200.31006,0,0,39100.15503,58650.23254,78200.31006,"Released","Released",0,NA
"Virginia","1502371","CLINTWOOD JOD, LLC","BEE BRANCH SURFACE MINE","[1624, 1657, 1653]",1591.48714576,888572.43862,1332858.657915,1777144.877161,1741800,1741800,-853227.56138,-408941.342085,35344.8771609999,"PCESS-NOT PROD","Bonded",577.68,1
"Virginia","1102358","CLINTWOOD JOD, LLC","PAW PAW STRIP","[1563]",215.93553461,52021.103669,78031.655493,104042.207328,1269000,1269000,-1216978.896331,-1190968.344507,-1164957.792672,"ACT/NOT PRDCNG","Bonded",457.82,1
"Virginia","1102359","CLINTWOOD JOD, LLC","LAUREL BRANCH SURFACE MINE","[1629, 1616]",342.76184709,114396.895554,171595.343342,228793.791104,3832900,3832900,-3718503.104446,-3661304.656658,-3604106.208896,"ACTIVE","Bonded",1546.84,1
"Virginia","1401520","COASTAL COAL COMPANY, LLC","SANDY RIDGE UPPER BANNER MINE","[1259]",308.17477428,225510.57081,338265.85624,451021.14162,0,0,225510.57081,338265.85624,451021.14162,"Released","Released",0,NA
"Virginia","1602387","COKING COAL LLC","WHITLEY FORK STRIP #1","[800, 802]",272.3910933,202900.381049,304350.571524,405800.761988,114000,114000,88900.381049,190350.571524,291800.761988,"TEMP CESSATION","Bonded",37.38,1
"Virginia","1602351","COKING COAL LLC","PARDEE #1 STRIP","[804, 795]",550.68426611,195217.411626,292826.117432,390434.823232,3394800,3394800,-3199582.588374,-3101973.882568,-3004365.176768,"ACT/NOT PRDCNG","Bonded",1648.15,1
"Virginia","1102352","COKING COAL LLC","PINE BRANCH NO. 1 MINE","[833]",207.356571,72126.14472,108189.21708,144252.28944,462200,462200,-390073.85528,-354010.78292,-317947.71056,"ACT/NOT PRDCNG","Bonded",281.06,1
"Virginia","1102386","COKING COAL LLC","NINE MILE SPUR #6","[793]",226.65484948,133070.509074,199605.763552,266141.018138,468000,468000,-334929.490926,-268394.236448,-201858.981862,"ACTIVE","Bonded",334.42,1
"Virginia","1101720","CORBIN MINING, LLC","TILLEY BRANCH MINE","[1359, 1361, 1390, 1380, 1385, 1388, 1399]",1356.95897565,484187.32851,726280.99274,968374.65694,0,0,484187.32851,726280.99274,968374.65694,"Released","Released",0,NA
"Virginia","1100251","FREEMAN FUEL CO.","","[1274]",188.59381231,52781.895314,79172.842955,105563.790617,0,0,52781.895314,79172.842955,105563.790617,"Released","Released",0,NA
"Virginia","1100757","H & G MINING COMPANY","H & G MINING COMPANY","[1096]",76.79108431,48846.03581,73269.05373,97692.07164,0,0,48846.03581,73269.05373,97692.07164,"Released","Released",0,NA
"Virginia","1601982","HAROLD KEENE COAL COMPANY, INC.","THE BANNER MINE","[1723, 1717, 1730, 1733]",956.65614711,461712.66392,692568.99583,923425.32787,462000,462000,-287.336079999979,230568.99583,461425.32787,"ACT/NOT PRDCNG","Bonded",153.25,1
"Virginia","1102128","HAROLD KEENE COAL COMPANY, INC.","LOUIS LOWE MINE","[1659, 1665, 1668, 1660, 1662]",659.96690825,291811.97008,437717.95511,583623.94016,4821500,4821500,-4529688.02992,-4383782.04489,-4237876.05984,"ACT/NOT PRDCNG","Bonded",426.87,1
"Virginia","1602329","INMET MINING, LLC","STONEGA #1 STRIP (BLUFF SPUR MINE)","[763, 765, 769, 779, 768]",1163.74317389,793574.860342,1190362.29055,1587149.720714,9924100,9924100,-9130525.139658,-8733737.70945,-8336950.279286,"ACT/NOT PRDCNG","Bonded",384.97,1
"Virginia","1102365","INMET MINING, LLC","NINE MILE SPUR #5","[711]",143.33237555,57236.02376,85854.03563,114472.0475,1200200,1200200,-1142963.97624,-1114345.96437,-1085727.9525,"ACT/NOT PRDCNG","Bonded",530.51,1
"Virginia","1102299","JEWELL VALLEY MINING LLC","FLATROCK NORTHEAST","[1738, 1740, 1742, 1748, 1754]",1695.59710261,787491.973721,1181237.960578,1574983.947427,492900,492900,294591.973721,688337.960578,1082083.947427,"ACT/NOT PRDCNG","Bonded",147.71,1
"Virginia","1702302","JEWELL VALLEY MINING LLC","SURFACE MINE #1","[1879]",103.1808388,31830.69274,47746.03911,63661.38547,1828900,1828900,-1797069.30726,-1781153.96089,-1765238.61453,"ACT/NOT PRDCNG","Bonded",196.03,1
