"Permit_ID","Permittee","Mine_Name","Orig_Bond","Curr_Bond","Avail_Bond","Mine_Status","Bond_Status","Highwall_Comp","Highwall_Viol","Highwall_Total","Acres","Issue_Date","Per_Type","Type_Flag","Post_SMCRA","Full_Bond","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Min_Deficit","Mid_Deficit","Max_Deficit"
"800027","MARTIN COUNTY COAL CORPORATION","",206640,0,0,"Permit Released","Released",NA,NA,NA,183.2629707,1979-01-17,"INTERIM","INACT",NA,0,"[1113]",138.71700017,43929.049962,65893.57494,87858.09991,43929.049962,65893.57494,87858.09991
"8800014","MARTIN COUNTY COAL CORPORATION","",18504900,0,0,"Permit Released","Released",NA,NA,NA,303.9271627,1984-03-19,"PERMANENT","INACT",0,0,"[1085]",364.8709458,196057.08384,294085.62572,392114.1676,196057.08384,294085.62572,392114.1676
"8675195","MASSIVE MINING INC","PINCE CREEK MINE 1",122000,0,122000,"Final Forfeiture","Forfeited",NA,NA,NA,156.7465246,1997-01-24,"PERMANENT","INACT",1,122000,"[832]",184.20554346,135072.51845,202608.77772,270145.0369,13072.51845,80608.77772,148145.0369
"8585078","MAYO RESOURCES INC","",960100,237700,237700,"Reclamation Only","Bonded",NA,NA,NA,187.8303583,2011-08-10,"PERMANENT","INACT",1,237700,"[774, 781]",281.97993832,68564.840037,102847.260063,137129.680094,-169135.159963,-134852.739937,-100570.319906
"8987124","MC MINING LLC","",472500,385000,385000,"Reclamation Only","Bonded",NA,NA,NA,199.8617938,2019-08-12,"PERMANENT","ACT",NA,385000,"[1163]",159.3820208,43361.98912,65042.98368,86723.97824,-341638.01088,-319957.01632,-298276.02176
"8360417","METELECTRIC ENERGY LLC","MetElectric Mine No. 1",4296700,0,4296700,"Final Forfeiture","Forfeited",NA,NA,NA,422.3895108,2014-03-28,"PERMANENT","INACT",1,4296700,"[961, 959, 954, 945]",1033.52869582,636770.778262,955156.167429,1273541.556474,-3659929.221738,-3341543.832571,-3023158.443526
"8070440","MIDDLESBORO MINING OPERATIONS INC","",2844900,0,0,"Permit Released","Released",NA,NA,NA,1051.579125,2014-08-21,"PERMANENT","INACT",1,0,"[186, 187]",272.54593837,77011.361898,115517.042848,154022.723776,77011.361898,115517.042848,154022.723776
"8970434","MINNEHAN MINING LLC","",497200,0,497200,"Final Forfeiture","Forfeited",NA,NA,NA,214.2176897,2001-05-08,"PERMANENT","INACT",1,497200,"[311, 313]",700.28550938,243655.71979,365483.57968,487311.43959,-253544.28021,-131716.42032,-9888.56041000003
"8670552","NALLY & HAMILTON ENTERPRISES, INC","",3198000,2719400,2719400,"Actively Producing","Bonded",4500,2200,6700,577.9242303,2019-12-03,"PERMANENT","ACT",NA,2719400,"[811, 815, 808]",487.46600646,203827.332271,305740.998366,407654.664615,-2515572.667729,-2413659.001634,-2311745.335385
"8480377","NALLY & HAMILTON ENTERPRISES, INC","",2888200,3856400,3856400,"Actively Producing","Bonded",2900,0,2900,976.7771736,2019-01-17,"PERMANENT","ACT",0,3856400,"[467, 471, 496, 463, 492]",767.18268559,300344.9862966,450517.4794,600689.972651,-3556055.0137034,-3405882.5206,-3255710.027349
"8480294","NALLY & HAMILTON ENTERPRISES, INC","Right Fork #1",734400,254700,254700,"Non-Disturbed","Bonded",NA,NA,NA,579.836887,2013-04-15,"PERMANENT","ACT",1,254700,"[300, 303]",858.12864569,194869.621526,292304.432265,389739.243064,-59830.378474,37604.432265,135039.243064
"8610500","NALLY & HAMILTON ENTERPRISES, INC","Four Mile 2",2536716,1332300,1332300,"Reclamation Only","Bonded",0,0,0,791.8554528,2018-04-11,"PERMANENT","ACT",1,1332300,"[216, 220]",241.1103495,86312.19919,129468.29879,172624.39834,-1245987.80081,-1202831.70121,-1159675.60166
"8480256","NALLY & HAMILTON ENTERPRISES, INC","Bailey Creek",656900,667400,667400,"Reclamation Only","Bonded",0,900,900,144.4125791,2018-08-10,"PERMANENT","ACT",1,667400,"[497]",218.9857504,84298.30513,126447.45768,168596.61024,-583101.69487,-540952.54232,-498803.38976
"8480373","NALLY & HAMILTON ENTERPRISES, INC","Three Point - Darby/Creech",977200,186900,0,"Phase I Bond Release","Released",NA,NA,NA,448.0889379,2017-07-27,"PERMANENT","ACT",1,186900,"[390]",182.02462688,86868.81978,130303.22966,173737.63961,-100031.18022,-56596.77034,-13162.36039
"8480206","NALLY & HAMILTON ENTERPRISES, INC","LEWIS CREEK MINE #1",3512000,0,0,"Permit Released","Released",NA,NA,NA,611.8179393,2005-07-25,"PERMANENT","INACT",1,0,"[624, 641]",304.08275766,110246.599597,165369.8994,220493.1992,110246.599597,165369.8994,220493.1992
"8675228","NALLY & HAMILTON ENTERPRISES, INC","",2155100,0,0,"Permit Released","Released",NA,NA,NA,454.6337744,2000-05-05,"PERMANENT","INACT",1,0,"[677]",196.42533203,29188.318247,43782.477375,58376.636504,29188.318247,43782.477375,58376.636504
"8970382","NALLY & HAMILTON ENTERPRISES, INC","LYNN FORK #3",3073400,0,0,"Permit Released","Released",NA,NA,NA,458.5567089,1997-02-06,"PERMANENT","INACT",1,0,"[526]",214.03667439,63629.272129,95443.908185,127258.54424,63629.272129,95443.908185,127258.54424
"8360472","NOBLE COAL LLC DBA NOBLE RECLAMATION LLC","",531500,114200,114200,"Active Operations","Bonded",0,0,0,94.91250982,2022-07-12,"PERMANENT","ACT",NA,114200,"[841]",131.8755424,61469.65167,92204.47751,122939.3033,-52730.34833,-21995.52249,8739.3033
"8130325","NORTH FORK COLLIERIES, LLC","",552700,0,552700,"Final Forfeiture","Forfeited",NA,NA,NA,274.5927465,2008-04-11,"PERMANENT","INACT",1,552700,"[316]",390.94905778,140762.55225,211143.82838,281525.10451,-411937.44775,-341556.17162,-271174.89549
"8670579","PHELPS ENERGY AND RESOURCES 2, LLC","",513500,440900,440900,"Active Operations","Bonded",1025,0,1025,246.4340001,2024-07-15,"PERMANENT","ACT",NA,440900,"[648, 646]",455.97977232,202067.2539059,303100.880965,404134.507905,-238832.7460941,-137799.119035,-36765.492095
"8970568","PINE BRANCH MINING, LLC","Haddock Fork Mine",16743700,2653400,2653400,"Active Operations","Bonded",0,0,0,2677.275866,2013-01-02,"PERMANENT","ACT",1,2653400,"[386]",166.08158879,163634.63242,245451.9487,327269.2649,-2489765.36758,-2407948.0513,-2326130.7351
"8970569","PINE BRANCH MINING, LLC","Combs Branch Mine",15880900,5230900,5230900,"Actively Producing","Bonded",0,7250,7250,1592.072359,2013-02-05,"PERMANENT","ACT",1,5230900,"[344, 348]",967.69086483,1124023.365227,1686035.047935,2248046.73097,-4106876.634773,-3544864.952065,-2982853.26903
"8670347","PREMIER ELKHORN COAL LLC","MEADE-SHEPHERD MINE",2380200,0,0,"Permit Released","Released",NA,NA,NA,760.9768652,1993-06-09,"PERMANENT","INACT",1,0,"[993]",101.1636025,41186.37307,61779.5596,82372.74614,41186.37307,61779.5596,82372.74614
"8980975","PREMIER ELKHORN COAL LLC","",757700,530300,530300,"Active Operations","Bonded",1130,0,1130,1875.291704,2017-01-26,"PERMANENT","ACT",1,530300,"[1026, 996, 989, 1001, 971, 964]",1074.03286071,397364.872348,596047.30849,794729.74464,-132935.127652,65747.3084900001,264429.74464
"8984562","PREMIER ELKHORN COAL LLC","Beefhide Lower Banner",526400,526400,526400,"Reclamation Only","Bonded",953,0,953,803.0531996,2017-01-27,"PERMANENT","ACT",1,526400,"[953]",205.7303766,162862.44341,244293.66516,325724.88687,-363537.55659,-282106.33484,-200675.11313
"8670529","PREMIER ELKHORN COAL LLC","",1111900,629500,629500,"Reclamation Only","Bonded",735,0,735,864.7672305,2017-01-25,"PERMANENT","ACT",1,629500,"[909]",249.06796779,138651.48268,207977.22405,277302.96534,-490848.51732,-421522.77595,-352197.03466
"8980967","PREMIER ELKHORN COAL LLC","Blackburn Branch Surface Mine",8732200,8059500,8059500,"Active Operations","Bonded",0,17863,17863,2829.864212,2017-03-03,"PERMANENT","ACT",1,8059500,"[949, 951, 955, 1011, 958, 1006, 1008, 962, 990, 980, 977]",3435.02964144,1925767.881086,2888651.821433,3851535.761896,-6133732.118914,-5170848.178567,-4207964.238104
"8980968","PREMIER ELKHORN COAL LLC","",3737400,3450700,3450700,"Active Operations","Bonded",0,6138,6138,1821.492437,2017-04-19,"PERMANENT","ACT",1,3450700,"[936, 937, 897]",457.63327169,170100.60987,255150.9148,340201.21974,-3280599.39013,-3195549.0852,-3110498.78026
"8980974","PREMIER ELKHORN COAL LLC","",2530037,2530037,2530037,"Reclamation Only","Bonded",0,9600,9600,431.5918667,2017-02-06,"PERMANENT","ACT",1,2530037,"[899, 907, 905, 906, 903]",1575.47413523,729071.839904,1093607.7598741,1458143.679732,-1800965.160096,-1436429.2401259,-1071893.320268
"8980971","PREMIER ELKHORN COAL LLC","Petty's Fork Surface Mine",2821100,2408300,2408300,"Reclamation Only","Bonded",0,3200,3200,641.8343627,2017-04-05,"PERMANENT","ACT",1,2408300,"[963]",95.32353025,44942.87579,67414.31369,89885.75159,-2363357.12421,-2340885.68631,-2318414.24841
"8980970","PREMIER ELKHORN COAL LLC","Bear Fork Mine",4829430,2963130,2963130,"Reclamation Only","Bonded",0,2300,2300,844.7827147,2017-04-13,"PERMANENT","ACT",1,2963130,"[952]",248.11165597,120536.79151,180805.18726,241073.58297,-2842593.20849,-2782324.81274,-2722056.41703
"8675336","PREMIER ELKHORN COAL LLC","",251700,251700,251700,"Active Operations","Bonded",350,0,350,1110.607247,2017-02-01,"PERMANENT","ACT",1,251700,"[901]",371.49243928,120687.023078,181030.534622,241374.04616,-131012.976922,-70669.465378,-10325.95384
"8980498","PREMIER ELKHORN COAL LLC","MINE #0377",379900,0,0,"Permit Released","Released",NA,NA,NA,71.84092021,1997-06-06,"PERMANENT","INACT",1,0,"[1039]",112.46460041,60608.07028,90912.10542,121216.14055,60608.07028,90912.10542,121216.14055
"8984513","PRIME ENERGY DEVELOPMENT, LLC","Right Blackberry Mines 1 and 2",107000,107000,107000,"Suspended","Bonded",750,0,750,115.5314086,2015-06-09,"PERMANENT","ACT",1,107000,"[1423]",305.88581367,188336.20818,282504.31226,376672.41634,81336.20818,175504.31226,269672.41634
"8984651","RAVEN COAL LLC","",1682500,986500,986500,"Active Operations","Bonded",4479,0,4479,164.5287549,2021-07-09,"PERMANENT","ACT",NA,986500,"[1023]",128.5662012,57044.2181,85566.32714,114088.4362,-929455.7819,-900933.67286,-872411.5638
"8670541","RAVEN ENERGY INC","Powderkeg Mine No 1",2596000,0,2596000,"Final Forfeiture","Forfeited",NA,NA,NA,196.604757,2017-11-20,"PERMANENT","INACT",1,2596000,"[735]",110.8117,58788.84953,88183.27429,117577.6991,-2537211.15047,-2507816.72571,-2478422.3009
"536976X","RAY COAL CO","",32000,0,0,"Permit Released","Released",NA,NA,NA,85.7800035,1977-01-21,"PRE LAW","INACT",0,0,"[393, 394]",744.23927293,313097.413557,469646.120334,626194.827092,313097.413557,469646.120334,626194.827092
"2660236","RAY COAL CO","",70000,0,0,"Permit Released","Released",NA,NA,NA,123.6797458,1977-02-01,"INTERIM","INACT",0,0,"[381]",134.4099403,41454.95439,62182.43159,82909.90879,41454.95439,62182.43159,82909.90879
"8985507","REDBONE COAL COMPANY INC","REDBONE MINE",57861,0,0,"Permit Released","Released",NA,NA,NA,18.51083882,1991-06-10,"PERMANENT","INACT",1,0,"[1178]",237.44853523,83273.86831,124910.80246,166547.73662,83273.86831,124910.80246,166547.73662
"8980165","REDBONE COAL COMPANY INC","",1478344,0,0,"Permit Released","Released",NA,NA,NA,366.9603589,1985-07-08,"PERMANENT","INACT",1,0,"[1335]",242.35202371,113807.07249,170710.60872,227614.14495,113807.07249,170710.60872,227614.14495
