"Permit_ID","Permittee","Mine_Name","Bond_Amount","Avail_Bond","Bond_Type","Mine_Status","Bond_Status","Issue_Date","Acres","Anniversary","App_Date","App_No","Mine_Type","Post_SMCRA","Trans_From","Release_Date","Mountaintop","Underground","Steep_Slope","Auger_Mining","Non_AOC","Remining","Remining_Acres","Layer","Full_Bond","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Min_Deficit","Mid_Deficit","Max_Deficit"
"1102354","BIG D ENTERPRISES, INC.","CARICO RIDGE HIGHWALL MINE",156000,156000,"P","ACTIVE","Bonded",2003-04-15,56.08,2025-04-15,"2003/04/15",1011231,"Surface - Auger",1,"1101834","","N","Y","Y","Y","N","Y",16.45,"CSMO_Permit_Boundaries",156000,"[1254]",393.64363039,421605.3773,632408.06609,843210.75474,265605.3773,476408.06609,687210.75474
"1601035","C. & K. COAL COMPANY, INC.","FROG POND",0,0,"P","Released","Released",1987-07-06,0,NA,"",NA,"Combination",NA,"","","","","","","","",0,"Released_Permit_Boundaries",0,"[1276]",93.19817715,85529.4227,128294.1341,171058.8454,85529.4227,128294.1341,171058.8454
"1102050","CALIBER ENERGY, INC.","COON BRANCH SURFACE/AUGER MINE",0,0,"P","Released","Released",2000-11-13,0,2020-11-13,"",NA,"Surface-Contour/Surface - Auger/Undergrd. - R P",NA,"1101763","","N","Y","Y","Y","N","N",0,"Released_Permit_Boundaries",0,"[1271]",410.79147019,302343.351134,453515.026693,604686.702277,302343.351134,453515.026693,604686.702277
"1102343","CIVIL, LLC","JONES FORK #2 MINE",3759100,3759100,"C","ACT/NOT PRDCNG","Bonded",2012-12-10,94.16,2018-12-10,"2012/12/10",1010866,"RECLAIM ONLY/Surface-Contour/Surface - Auger/Surf-Steep Slop/AF-Refuse Disp",1,"1102137","","N","N","Y","Y","N","Y",2.58,"CSMO_Permit_Boundaries",3759100,"[1887]",114.7282664,36335.550788,54503.326178,72671.10158,-3722764.449212,-3704596.673822,-3686428.89842
"1600921","CLINCHFIELD COAL COMPANY","OLD SMITH GAP MINE",0,0,"P","Released","Released",1986-11-26,0,1992-11-26,"",NA,"Surface-Contour/Surface - Auger/Undergrd. - R P",NA,"","","","","","","","",0,"Released_Permit_Boundaries",0,"[1445]",111.1011467,30640.45792,45960.68688,61280.91585,30640.45792,45960.68688,61280.91585
"1101445","CLINCHFIELD COAL COMPANY","COBRA PIT #1",0,0,"P","Released","Released",1992-11-23,0,1996-11-23,"",NA,"Surface - Auger",NA,"","","N","Y","Y","Y","N","N",0,"Released_Permit_Boundaries",0,"[1348]",90.48119912,39100.15503,58650.23254,78200.31006,39100.15503,58650.23254,78200.31006
"1502371","CLINTWOOD JOD, LLC","BEE BRANCH SURFACE MINE",1741800,1741800,"P","PCESS-NOT PROD","Bonded",2001-09-28,577.68,2024-09-28,"2001/09/28",1011004,"AF-Refuse Disp/Surface-Contour/Surface - Auger/Surface - Area",1,"1101784","","N","Y","Y","Y","N","N",0,"CSMO_Permit_Boundaries",1741800,"[1624, 1657, 1653]",1591.48714576,888572.43862,1332858.657915,1777144.877161,-853227.56138,-408941.342085,35344.8771609999
"1102358","CLINTWOOD JOD, LLC","PAW PAW STRIP",1269000,1269000,"P","ACT/NOT PRDCNG","Bonded",1996-06-10,457.82,2021-06-10,"1996/06/10",1010355,"Surface-Contour/Surface - Area/Surf-Steep Slop/Surface - Auger",1,"1101762","","N","Y","Y","Y","N","Y",21.56,"CSMO_Permit_Boundaries",1269000,"[1563]",215.93553461,52021.103669,78031.655493,104042.207328,-1216978.896331,-1190968.344507,-1164957.792672
"1102359","CLINTWOOD JOD, LLC","LAUREL BRANCH SURFACE MINE",3832900,3832900,"P","ACTIVE","Bonded",2007-02-20,1546.84,2022-02-20,"2007/02/20",1011243,"Surface - Area/Surface-Contour/Surf-Steep Slop/Surface - Auger",1,"1101995","","N","Y","Y","Y","N","Y",227.79,"CSMO_Permit_Boundaries",3832900,"[1629, 1616]",342.76184709,114396.895554,171595.343342,228793.791104,-3718503.104446,-3661304.656658,-3604106.208896
"1401520","COASTAL COAL COMPANY, LLC","SANDY RIDGE UPPER BANNER MINE",0,0,"P","Released","Released",1994-12-22,0,1999-12-22,"",NA,"Undergrd. - R P/AF-Refuse Disp/Surface-Contour/Surface - Auger",NA,"","","","Y","","","","Y",144.6,"Released_Permit_Boundaries",0,"[1259]",308.17477428,225510.57081,338265.85624,451021.14162,225510.57081,338265.85624,451021.14162
"1602387","COKING COAL LLC","WHITLEY FORK STRIP #1",114000,114000,"P","TEMP CESSATION","Bonded",1997-07-25,37.38,2025-07-25,"1997/07/25",1011573,"Surface - Area/Surface - Auger/Undergrd. - R P/Surface-Contour",1,"1602321","","N","Y","N","Y","N","N",0,"CSMO_Permit_Boundaries",114000,"[800, 802]",272.3910933,202900.381049,304350.571524,405800.761988,88900.381049,190350.571524,291800.761988
"1602351","COKING COAL LLC","PARDEE #1 STRIP",3394800,3394800,"C","ACT/NOT PRDCNG","Bonded",1993-11-10,1648.15,2022-11-10,"1993/11/10",1011017,"AF-Refuse Disp/Surface - Auger/Surf-Steep Slop/Surface-Contour/Undergrd. - R P",1,"1602221","","N","Y","Y","Y","N","Y",64.3,"CSMO_Permit_Boundaries",3394800,"[804, 795]",550.68426611,195217.411626,292826.117432,390434.823232,-3199582.588374,-3101973.882568,-3004365.176768
"1102352","COKING COAL LLC","PINE BRANCH NO. 1 MINE",462200,462200,"C","ACT/NOT PRDCNG","Bonded",1999-10-18,281.06,2024-10-18,"1999/10/18",1010829,"Surface - Area/Surface - Auger/Undergrd. - R P/Surf-Steep Slop/Surface-Contour",1,"1102229","","N","Y","Y","Y","N","Y",94.22,"CSMO_Permit_Boundaries",462200,"[833]",207.356571,72126.14472,108189.21708,144252.28944,-390073.85528,-354010.78292,-317947.71056
"1102386","COKING COAL LLC","NINE MILE SPUR #6",468000,468000,"P","ACTIVE","Bonded",2008-06-03,334.42,2023-06-03,"2008/06/03",1011574,"Surface - Auger/Surface-Contour",1,"1102375","","N","Y","Y","Y","N","Y",23.34,"CSMO_Permit_Boundaries",468000,"[793]",226.65484948,133070.509074,199605.763552,266141.018138,-334929.490926,-268394.236448,-201858.981862
"1101720","CORBIN MINING, LLC","TILLEY BRANCH MINE",0,0,"C","Released","Released",1996-06-27,0,2002-06-27,"",NA,"Surface - Auger/Surface-Contour",NA,"1101560","","N","N","Y","Y","Y","Y",156.73,"Released_Permit_Boundaries",0,"[1359, 1361, 1390, 1380, 1385, 1388, 1399]",1356.95897565,484187.32851,726280.99274,968374.65694,484187.32851,726280.99274,968374.65694
"1100251","FREEMAN FUEL CO.","",0,0,"P","Released","Released",1983-11-09,0,1988-11-09,"",NA,"Strip",NA,"338401X","","","","","","","",0,"Released_Permit_Boundaries",0,"[1274]",188.59381231,52781.895314,79172.842955,105563.790617,52781.895314,79172.842955,105563.790617
