"Permit_ID","Permittee","Operator","Mine_Name","Bond_Amount","Avail_Bond","Mine_Status","Bond_Status","Mine_Type","Acres","Acres_Dist","Acres_Orig","Acres_Recl","Expir_Date","Issue_Date","PMLU","PMLU_2","Post_SMCRA","Vio_Active","Vio_Total","WebLink","Full_Bond","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Min_Deficit","Mid_Deficit","Max_Deficit"
"S503308","ERP ENVIRONMENTAL FUND, INC.","","Chestnut Oak Surface Mine",955000,955000,"NS-Not Started","Bonded","Coal Surface Mine",260.4,55.4,253,92.6,2030-07-21,2010-07-21,"Forestland","Fish and Wildlife Habitat/Recreation",1,6,24,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S503308&dep_office_id=OMR&responsible_party_name=ERP ENVIRONMENTAL FUND, INC.",955000,"[1687, 1698]",1057.8600236,824919.35425,1237379.03133,1649838.70873,-130080.64575,282379.03133,694838.70873
"S003880","ERP ENVIRONMENTAL FUND, INC.","NUEAST MINING CORP",NA,64750,64750,"A4-Active, No coal removed","Bonded","Coal Surface Mine",253.42,-999,237,-999,1992-07-06,1980-05-05,"Forestland",NA,1,2,18,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S003880&dep_office_id=OMR&responsible_party_name=ERP ENVIRONMENTAL FUND, INC.",64750,"[2089, 2085]",508.73735385,225452.4138,338178.62071,450904.82761,160702.4138,273428.62071,386154.82761
"S500605","ERP ENVIRONMENTAL FUND, INC.","","North Rum",5583120,5583120,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",1074,176.8,800.53,829.8,2026-06-08,2006-06-08,"Forestland",NA,1,8,42,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500605&dep_office_id=OMR&responsible_party_name=ERP ENVIRONMENTAL FUND, INC.",5583120,"[1860, 1857, 1864, 1869]",1118.35437562,633327.473141,949991.209605,1266654.946187,-4949792.526859,-4633128.790395,-4316465.053813
"S500207","ERP ENVIRONMENTAL FUND, INC.","","Surface Mine No. 45",1457080,1457080,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",498.4,435.6,602,98.5,2018-12-19,2008-12-19,"Forestland",NA,1,8,28,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500207&dep_office_id=OMR&responsible_party_name=ERP ENVIRONMENTAL FUND, INC.",1457080,"[1697, 1734]",365.11472423,247974.824789,371962.23718,495949.64962,-1209105.175211,-1085117.76282,-961130.35038
"S300195","ERP ENVIRONMENTAL FUND, INC.","WCA, INC","LEASE 1",0,0,"Phase III Release","Released","Coal Surface Mine",0,79.18,583,-999,2011-02-09,1996-02-09,"Forestland",NA,1,1,29,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S300195&dep_office_id=OMR&responsible_party_name=ERP ENVIRONMENTAL FUND, INC.",0,"[2192, 2196, 2185]",390.05153329,116330.299669,174495.44951,232660.59934,116330.299669,174495.44951,232660.59934
"S400500","FALCON RECLAMATION LIMITED LIABILITY COMPANY","","FALCON SURFACE MINE",3495000,3495000,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",611.19,116.37,558.29,324.73,2026-05-07,2001-05-07,"Forestland","Fish and Wildlife Habitat/Recreation",1,16,131,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400500&dep_office_id=OMR&responsible_party_name=FALCON RECLAMATION LIMITED LIABILITY COMPANY",3495000,"[1981, 2024, 2022]",1781.2151729,1200172.876837,1800259.315166,2400345.753675,-2294827.123163,-1694740.684834,-1094654.246325
"S502108","GMAX, INC.","","Spice Creek Strip",287684.51,287684.51,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",122.12,40.76,122.12,26.65,2026-07-05,2011-07-05,"Forestland",NA,1,2,23,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S401110&dep_office_id=OMR&responsible_party_name=GMAX, INC.",287684.51,"[2153, 2158, 2173]",465.54158746,261312.4589311,391968.6884417,522624.9178923,-26372.0510689,104284.1784417,234940.4078923
"S500709","GREENBRIER MINERALS, LLC","","Toney Fork Surface Mine No. 3",2630000,2630000,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",842.2,154.05,764,54.36,2028-11-20,2013-11-20,"Forestland",NA,1,1,8,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500709&dep_office_id=OMR&responsible_party_name=GREENBRIER MINERALS, LLC",2630000,"[1967]",571.56964639,248853.873901,373280.810867,497707.747832,-2381146.126099,-2256719.189133,-2132292.252168
"S501210","GREENBRIER MINERALS, LLC","","Toney Fork West Surface Mine",1660000,1660000,"IA-Approved inactive Status","Bonded","Coal Surface Mine",331.85,106.57,266.25,95.74,2026-12-07,2012-02-29,"Forestland",NA,1,-999,9,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S501210&dep_office_id=OMR&responsible_party_name=GREENBRIER MINERALS, LLC",1660000,"[1915]",86.053851,32277.67238,48416.50857,64555.34476,-1627722.32762,-1611583.49143,-1595444.65524
"S503395","GREENBRIER MINERALS, LLC","","TONEY FORK SURFACE #2",5702920,5702920,"NS-Not Started","Bonded","Coal Surface Mine",1120.91,171.48,872.08,749.55,2028-05-22,1998-05-28,"Forestland",NA,1,-999,85,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S503395&dep_office_id=OMR&responsible_party_name=GREENBRIER MINERALS, LLC",5702920,"[1935, 1946, 1949]",895.84424686,471645.603891,707468.40581,943291.20777,-5231274.396109,-4995451.59419,-4759628.79223
"S501300","GREENTHORN, LLC","APPALACHIAN FUELS, LLC.","WV-3",1626240,1626240,"IA-Approved inactive Status","Bonded","Coal Surface Mine",459.83,158.25,461.43,229.78,2025-11-03,2000-11-03,"Forestland",NA,1,28,168,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S501300&dep_office_id=OMR&responsible_party_name=GREENTHORN, LLC",1626240,"[1774, 1772]",874.35965806,335924.435527,503886.65333,671848.8711,-1290315.564473,-1122353.34667,-954391.1289
"S400507","GS ENERGY, LLC","","Garland Surface Mine",392320,392320,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",255,83.06,253.71,25.66,2026-01-27,2011-01-27,"Fish and Wildlife Habitat/Recreation","Forestland",1,3,14,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400507&dep_office_id=OMR&responsible_party_name=GS ENERGY, LLC",392320,"[1892, 1894]",648.71752537,199712.473546,299568.710326,399424.947081,-192607.526454,-92751.289674,7104.94708100008
"S500201","HIGHLAND MINING COMPANY","","GEORGES CREEK SURFACE MINE NO.",2320000,2320000,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",583.34,163.89,343.83,159.61,2027-12-20,2002-12-20,"Forestland",NA,1,1,18,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500201&dep_office_id=OMR&responsible_party_name=HIGHLAND MINING COMPANY",2320000,"[1830, 1828, 1827, 1825, 1824]",1136.3232836,483778.905159,725668.357764,967557.810397,-1836221.094841,-1594331.642236,-1352442.189603
"S201988","ICG EASTERN, LLC","","KNIGHT-INK #1",770249,770249,"A4-Active, No coal removed","Bonded","Coal Surface Mine",621.4,865.63,1598.82,701.21,2018-09-02,1988-09-02,"Fish and Wildlife Habitat/Recreation",NA,1,-999,28,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S201988&dep_office_id=OMR&responsible_party_name=ICG EASTERN, LLC",770249,"[2438]",1087.77969865,497229.957392,745844.935991,994459.914683,-273019.042608,-24404.064009,224210.914683
"S600886","JACKS BRANCH COAL COMPANY","","MINE 130",80360,80360,"NS-Not Started","Bonded","Coal Surface Mine",48.94,3.53,329.68,45.41,2026-03-04,1986-03-04,"Fish and Wildlife Habitat/Recreation",NA,1,-999,3,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S600886&dep_office_id=OMR&responsible_party_name=JACKS BRANCH COAL COMPANY",80360,"[2318, 2320]",536.90034298,277883.343612,416825.015432,555766.6873,197523.343612,336465.015432,475406.6873
"S400905","JUSTICE HIGHWALL MINING, INC","","Big Br. Highwall Mine Poca #12",511120,511120,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",219.6,20,215.58,199.6,2016-11-03,2006-11-03,"Fish and Wildlife Habitat/Recreation",NA,1,3,37,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400905&dep_office_id=OMR&responsible_party_name=JUSTICE HIGHWALL MINING, INC",511120,"[2210, 2215, 2247]",601.81677299,237830.48041,356745.72062,475660.96083,-273289.51959,-154374.27938,-35459.03917
"S306788","KANAWHA RIVER MINING COMPANY","","TOLBERT MINE #3",0,0,"Phase III Release","Released","Coal Surface Mine",54.29,103.15,119.11,94.53,1994-05-10,1989-05-10,"Fish and Wildlife Habitat/Recreation",NA,1,-999,14,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S306788&dep_office_id=OMR&responsible_party_name=KANAWHA RIVER MINING COMPANY",0,"[2330]",355.37724677,137962.78945,206944.18418,275925.57894,137962.78945,206944.18418,275925.57894
"S400504","KENTUCKY FUEL CORPORATION","JUSTICE HIGHWALL MINING, INC.","Puncheoncamp Thin Seam Mine",39520,39520,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",51.5,45,85.69,45,2009-12-20,2004-12-20,"Industrial / Commercial",NA,1,2,11,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400504&dep_office_id=OMR&responsible_party_name=KENTUCKY FUEL CORPORATION",39520,"[2118, 2112, 2096, 2109]",5891.01666516,5514981.3780528,8272472.0666696,11029962.7552474,5475461.3780528,8232952.0666696,10990442.7552474
"S400305","KENTUCKY FUEL CORPORATION","JUSTICE HIGHWALL MINING, INC.","Puncheoncamp Thin Seam Mine #2",49200,49200,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",60.78,50,60.78,50,2010-10-03,2005-10-03,"Industrial / Commercial",NA,1,3,10,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400305&dep_office_id=OMR&responsible_party_name=KENTUCKY FUEL CORPORATION",49200,"[2090, 2093]",5295.77532165,5772035.314088,8658052.970876,11544070.628049,5722835.314088,8608852.970876,11494870.628049
"S300609","KEYSTONE INDUSTRIES, LLC DBA KEYSTONE DEVELOPMENT, LLC","","KD Surface Mine No. 2",532440,532440,"A4-Active, No coal removed","Bonded","Coal Surface Mine",107,77.11,413.8,0.2,2024-05-05,2014-05-05,"Forestland",NA,1,11,76,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S300609&dep_office_id=OMR&responsible_party_name=KEYSTONE INDUSTRIES, LLC DBA KEYSTONE DEVELOPMENT, LLC",532440,"[2056]",91.06000865,40817.30623,61225.95934,81634.61245,-491622.69377,-471214.04066,-450805.38755
"S502099","LEXINGTON COAL COMPANY, LLC","J & L AUGER INC","Surface Mine No. 2",6945000,6945000,"IA-Approved inactive Status","Bonded","Coal Surface Mine",1260.04,520.75,934.4,691.32,2020-10-13,2000-10-13,"Commercial Woodland","Commercial Forestry",1,1,73,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S502099&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",6945000,"[1785]",156.12450354,131430.9081,197146.36217,262861.8162,-6813569.0919,-6747853.63783,-6682138.1838
"S500398","LEXINGTON COAL COMPANY, LLC","","TWILIGHT II SURFACE MINE",4430000,4430000,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",885.8,175.38,857,574.32,2028-06-03,1998-06-03,"Forestland","Commercial Woodland",1,12,73,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500398&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",4430000,"[2080, 2107]",994.04723747,505892.649876,758838.97483,1011785.299653,-3924107.350124,-3671161.02517,-3418214.700347
"S300691","LEXINGTON COAL COMPANY, LLC","SPARTAN MINING COMPANY","KANAWHA SERVICES NO. 1 SURFACE",807000,807000,"A4-Active, No coal removed","Bonded","Coal Surface Mine",807,17.81,879.82,605.75,2017-02-25,1992-02-25,"Forestland","Fish and Wildlife Habitat/Recreation",1,2,36,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S300691&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",807000,"[2373, 2375, 2376]",641.56747158,293904.38251,440856.573765,587808.76508,-513095.61749,-366143.426235,-219191.23492
"S300296","LEXINGTON COAL COMPANY, LLC","SPARTAN MINING COMPANY","FOURMILE FK SURFACE MINE",3900000,3900000,"A4-Active, No coal removed","Bonded","Coal Surface Mine",749.74,47.85,730.1,519.61,2027-04-23,1997-04-23,"Forestland","Fish and Wildlife Habitat/Recreation",1,4,59,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S300296&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",3900000,"[2365, 2366, 2370, 2360]",1174.78179611,900618.785978,1350928.178795,1801237.571884,-2999381.214022,-2549071.821205,-2098762.428116
"S500102","LEXINGTON COAL COMPANY, LLC","","GLORY SURFACE MINE",4993320,4993320,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",1356.01,280.33,961.74,383.21,2024-01-02,2004-01-02,"Forestland","Fish and Wildlife Habitat/Recreation",1,3,49,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500102&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",4993320,"[1902, 1895, 1898, 1899, 1908, 1909, 1910, 1911]",5347.60205499,3383139.378303,5074709.067321,6766278.756879,-1610180.621697,81389.0673209978,1772958.756879
"S503195","LEXINGTON COAL COMPANY, LLC","INDEPENDENCE COAL COMPANY INC","WEST CAZY SURFACE MINE",4470800,4470800,"NS-Not Started","Bonded","Coal Surface Mine",1055.3,167.1,517,720.4,2026-03-12,1996-03-12,"Fish and Wildlife Habitat/Recreation","Fish and Wildlife Habitat/Recreation",1,8,88,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S503195&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",4470800,"[1923, 1940, 1931, 1924]",2178.75278238,1040427.96855,1560641.952846,2080855.937059,-3430372.03145,-2910158.047154,-2389944.062941
"S400596","LEXINGTON COAL COMPANY, LLC","SIMMONS FORK MINING INC","SIMMONS FORK MOUNTAINTOP REMOV",0,0,"Phase III Release","Released","Coal Surface Mine",0,-999,822,-999,2011-11-07,1996-11-07,"Industrial / Commercial","Fish and Wildlife Habitat/Recreation",1,-999,16,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400596&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",0,"[2068]",118.8917983,48269.81843,72404.72765,96539.63686,48269.81843,72404.72765,96539.63686
"S301405","LEXINGTON COAL COMPANY, LLC","","PGM Surface Mine No. 1",2127840,2127840,"A4-Active, No coal removed","Bonded","Coal Surface Mine",806,-1,633.49,-999,2016-12-14,2006-12-14,"Fish and Wildlife Habitat/Recreation",NA,1,6,49,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S301405&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",2127840,"[2404]",325.73143953,134276.448051,201414.672087,268552.896052,-1993563.551949,-1926425.327913,-1859287.103948
"S301806","LEXINGTON COAL COMPANY, LLC","","Spruce Run Surface Mine",1031040,1031040,"A4-Active, No coal removed","Bonded","Coal Surface Mine",357.6,29.5,357.6,119.7,2027-10-29,2007-10-29,"Fish and Wildlife Habitat/Recreation",NA,1,8,25,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S301806&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",1031040,"[2419]",207.1189686,103970.8713,155956.30694,207941.74262,-927069.1287,-875083.69306,-823098.25738
"S304589","LEXINGTON COAL COMPANY, LLC","SPARTAN MINING COMPANY","Big Creek Number 2",842000,842000,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",841.77,0,638.55,-999,2015-08-07,1990-08-07,"Fish and Wildlife Habitat/Recreation",NA,1,4,69,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S304589&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",842000,"[2377, 2380]",604.4103691,283219.92343,424829.88512,566439.84679,-558780.07657,-417170.11488,-275560.15321
"S301999","LEXINGTON COAL COMPANY, LLC","","Upper Big Branch Sur. Mine #1",1687200,1687200,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",702.3,178.79,736.25,542.16,2026-05-07,2001-05-07,"Forestland",NA,1,3,51,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S301999&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",1687200,"[2110]",636.88140318,263060.80551,394591.208275,526121.611,-1424139.19449,-1292608.791725,-1161078.389
"S302193","LEXINGTON COAL COMPANY, LLC","ALEX ENERGY INC","LILLY FORK SURFACE MINE",4665920,4665920,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",1404.47,55.62,1334,843.88,2027-02-17,1995-05-12,"Rangeland",NA,1,6,78,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S302193&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",4665920,"[2422, 2423, 2424]",888.59212375,578356.019577,867534.029407,1156712.0391,-4087563.980423,-3798385.970593,-3509207.9609
"S502007","LEXINGTON COAL COMPANY, LLC","","CRESCENT #2 SURFACE MINE",3280000,3280000,"IA-Approved inactive Status","Bonded","Coal Surface Mine",1160.3,350.13,1222.16,122.27,2028-11-13,2008-11-13,"Forestland",NA,1,18,83,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S502007&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",3280000,"[2081, 2084, 2075]",1954.951809,659975.37055,989963.05578,1319950.741084,-2620024.62945,-2290036.94422,-1960049.258916
"S501608","LEXINGTON COAL COMPANY, LLC","","COON KNOB SURFACE MINE #1",1100000,1100000,"IA-Approved inactive Status","Bonded","Coal Surface Mine",219.04,46.4,219.04,0,2025-08-30,2010-08-30,"Forestland",NA,1,4,18,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S501608&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",1100000,"[1745, 1771]",6150.28224643,2841837.890462,4262756.835559,5683675.780793,1741837.890462,3162756.835559,4583675.780793
"S502408","LEXINGTON COAL COMPANY, LLC","","TWILIGHT III-A SURFACE MINE",1075000,1075000,"NS-Not Started","Bonded","Coal Surface Mine",214.75,95.05,307.87,48.1,2027-03-30,2012-03-30,"Forestland",NA,1,7,43,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S502408&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",1075000,"[2078, 2072]",1514.63878846,952948.887383,1429423.331128,1905897.774766,-122051.112617,354423.331128,830897.774766
"S504189","LEXINGTON COAL COMPANY, LLC","INDEPENDENCE COAL COMPANY INC",NA,0,0,"Phase III Release","Released","Coal Surface Mine",0,144.05,668,144.05,2020-12-12,1990-12-18,"Fish and Wildlife Habitat/Recreation",NA,1,-999,55,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S504189&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",0,"[1546]",160.54583539,50003.27073,75004.9061,100006.54147,50003.27073,75004.9061,100006.54147
"S501307","LEXINGTON COAL COMPANY, LLC","","HORSEPEN HIGHWALL MINER NO. 1",0,0,"Phase III Release","Released","Coal Surface Mine",10.96,10.65,16.34,10.65,2014-01-20,2009-01-20,"Public Service",NA,1,-999,-999,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S501307&dep_office_id=OMR&responsible_party_name=LEXINGTON COAL COMPANY, LLC",0,"[1685, 1695, 1693]",919.53205399,544925.40548,817388.108174,1089850.811049,544925.40548,817388.108174,1089850.811049
"S306487","MAPLE COAL CO.","CYPRUS KANAWHA CORP","NO. 5 BLOCK AUGER MINE",0,0,"Phase III Release","Released","Coal Surface Mine",37.07,37.07,102.39,31.15,1997-11-05,1987-11-05,"Fish and Wildlife Habitat/Recreation",NA,1,-999,4,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S306487&dep_office_id=OMR&responsible_party_name=MAPLE COAL CO.",0,"[2301]",144.01006938,63413.67455,95120.51182,126827.34909,63413.67455,95120.51182,126827.34909
"S400198","MID-VOL COAL SALES, INC.","","Road Fork Surface Mine No. 3",113032,113032,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",54.68,42,287,42,2014-12-17,1999-12-17,"Fish and Wildlife Habitat/Recreation",NA,1,-999,5,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400198&dep_office_id=OMR&responsible_party_name=MID-VOL COAL SALES, INC.",113032,"[2241, 2237, 2239]",434.67671437,152097.504752,228146.25714,304195.0095,39065.504752,115114.25714,191163.0095
"S402089","MID-VOL COAL SALES, INC.","PRIME PROCESSING, INC.",NA,59000,59000,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",51.48,0,185.16,0,2029-10-23,1989-10-23,"Forestland",NA,1,-999,16,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S402089&dep_office_id=OMR&responsible_party_name=MID-VOL COAL SALES, INC.",59000,"[2230]",94.4424879,41931.87487,62897.81231,83863.74975,-17068.12513,3897.81231,24863.74975
"S400906","MID-VOL COAL SALES, INC.","EXTRA ENERGY INC","Paradise Surface Mine",747360,747360,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",345.63,88.36,361.9,126.77,2028-03-24,2008-03-24,"Forestland",NA,1,1,6,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400906&dep_office_id=OMR&responsible_party_name=MID-VOL COAL SALES, INC.",747360,"[2145, 2167]",375.65859829,158168.40168,237252.60252,316336.8034,-589191.59832,-510107.39748,-431023.1966
"S400705","MID-VOL COAL SALES, INC.","","Eckman No. 2",1614720,1614720,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",406,44.47,392.39,283.66,2027-02-05,2007-02-05,"Forestland",NA,1,-999,14,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400705&dep_office_id=OMR&responsible_party_name=MID-VOL COAL SALES, INC.",1614720,"[2193]",202.10952117,85215.709487,127823.56423,170431.41897,-1529504.290513,-1486896.43577,-1444288.58103
"S403192","MID-VOL COAL SALES, INC.","PRIME PROCESSING, INC.",NA,891800,891800,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",342.25,0,336.25,196.35,2028-10-15,1993-10-15,"Forestland",NA,1,-999,14,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S403192&dep_office_id=OMR&responsible_party_name=MID-VOL COAL SALES, INC.",891800,"[2181]",552.62628311,621396.64024,932094.960397,1242793.280656,-270403.35976,40294.960397,350993.280656
"S401091","MID-VOL COAL SALES, INC.","EXTRA ENERGY INC","ROAD FORK NO. 2 SURFACE MINE",0,0,"Phase III Release","Released","Coal Surface Mine",363.45,187.53,344.67,187.53,2001-10-31,1991-10-31,"Forestland",NA,1,-999,15,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S401091&dep_office_id=OMR&responsible_party_name=MID-VOL COAL SALES, INC.",0,"[2229]",516.62990498,233796.40604,350694.60907,467592.81209,233796.40604,350694.60907,467592.81209
"S501397","MINGO LOGAN COAL COMPANY","EAGLE CREEK MINING LLC","SPRUCE NO. 1 MINE",0,0,"Phase III Release","Released","Coal Surface Mine",1728.99,181.4,3113,148.94,2024-10-29,1998-11-04,"Fish and Wildlife Habitat/Recreation",NA,1,-999,11,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S501397&dep_office_id=OMR&responsible_party_name=MINGO LOGAN COAL LLC",0,"[1878]",258.29610182,117593.75584,176390.63377,235187.51167,117593.75584,176390.63377,235187.51167
"S507986","MOUNTAIN EAGLE MINING, LLC","","EAST RUFFNER MINE",2550840,2550840,"NS-Not Started","Bonded","Coal Surface Mine",731.12,720.02,546.2,677.62,2021-12-17,1986-12-17,"Hayland or Pasture",NA,1,4,63,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S507986&dep_office_id=OMR&responsible_party_name=MOUNTAIN EAGLE MINING, LLC",2550840,"[1858]",212.559303,106456.56162,159684.84243,212913.1233,-2444383.43838,-2391155.15757,-2337926.8767
"S400897","MOUNTAIN EMPIRE LEASING, INC.","C F & B COAL WORKS INC","TURNHOLE BRANCH AUGER NO. 1",0,0,"Phase III Release","Released","Coal Surface Mine",11.48,3.94,11.48,1.99,2002-10-06,1997-10-06,"Combined","Fish and Wildlife Habitat/Recreation",1,-999,2,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400897&dep_office_id=OMR&responsible_party_name=MOUNTAIN EMPIRE LEASING, INC.",0,"[2162]",92.0583827,41817.99446,62726.99169,83635.98892,41817.99446,62726.99169,83635.98892
"S003082","MOUNTAIN VIEW COAL COMPANY","CONTINENTAL AUGERING INC",NA,0,0,"Phase III Release","Released","Coal Surface Mine",466,92.36,466,92.36,1997-08-19,1982-08-19,"Forestland","Fish and Wildlife Habitat/Recreation",1,-999,1,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S003082&dep_office_id=OMR&responsible_party_name=MOUNTAIN VIEW COAL COMPANY",0,"[2092]",189.92722467,104557.16559,156835.74843,209114.33114,104557.16559,156835.74843,209114.33114
"S301411","NEWGATE DEVELOPMENT OF BECKLEY LLC","","Three Marie Mine",237360,237360,"A4-Active, No coal removed","Bonded","Coal Surface Mine",197.72,40.36,172,0,2027-12-06,2012-12-06,"Forestland",NA,1,9,30,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S301411&dep_office_id=OMR&responsible_party_name=NEWGATE DEVELOPMENT OF BECKLEY LLC",237360,"[2328]",351.60574189,229972.51264,344958.76898,459945.0253,-7387.48736,107598.76898,222585.0253
