"Permit_ID","Permittee","Operator","Mine_Name","Bond_Amount","Avail_Bond","Mine_Status","Bond_Status","Mine_Type","Acres","Acres_Dist","Acres_Orig","Acres_Recl","Expir_Date","Issue_Date","PMLU","PMLU_2","Post_SMCRA","Vio_Active","Vio_Total","WebLink","Full_Bond","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Min_Deficit","Mid_Deficit","Max_Deficit"
"S505792","BLACK CASTLE MINING COMPANY, LLC","","EAST OF STOLLINGS SURFACE MINE",3832080,3832080,"NS-Not Started","Bonded","Coal Surface Mine",1483.05,149.27,1101.29,1073.88,2029-09-01,1994-09-01,"Forestland","Fish and Wildlife Habitat/Recreation",1,2,109,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S505792&dep_office_id=OMR&responsible_party_name=BLACK CASTLE MINING COMPANY, LLC",3832080,"[1920]",275.62712559,144909.39078,217364.08616,289818.78157,-3687170.60922,-3614715.91384,-3542261.21843
"S502401","BLACK CASTLE MINING COMPANY, LLC","","LEXERD SURFACE MINE",4845380,4845380,"NS-Not Started","Bonded","Coal Surface Mine",983.53,252.02,1080.29,429.35,2028-06-03,2003-06-03,"Fish and Wildlife Habitat/Recreation","Forestland",1,2,55,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S502401&dep_office_id=OMR&responsible_party_name=BLACK CASTLE MINING COMPANY, LLC",4845380,"[1947, 2016, 1963, 1966, 2014, 2011, 1961, 1965, 1978]",7216.33949506,5729803.93458,8594705.901617,11459607.869141,884423.93458,3749325.901617,6614227.869141
"S502898","BLACK CASTLE MINING COMPANY, LLC","","WEST OF STOLLINGS",5297862,5297862,"NS-Not Started","Bonded","Coal Surface Mine",826.17,82.86,1108.77,519.31,2028-06-11,2003-06-11,"Forestland",NA,1,-999,55,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S502898&dep_office_id=OMR&responsible_party_name=BLACK CASTLE MINING COMPANY, LLC",5297862,"[1943, 1938, 1932]",1726.35954797,1309243.660989,1963865.491403,2618487.32191,-3988618.339011,-3333996.508597,-2679374.67809
"S401894","BLACK WOLF MINING COMPANY","EDWARDS HOLDING INC","EDEN ROCK OPERATION",0,0,"Phase III Release","Released","Coal Surface Mine",191,145.29,190.55,145,2000-12-08,1995-12-08,"Forestland","Combined",1,-999,2,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S401894&dep_office_id=OMR&responsible_party_name=BLACK WOLF MINING COMPANY",0,"[2119]",187.889432,94652.77043,141979.15564,189305.54089,94652.77043,141979.15564,189305.54089
"S012382","BLACK WOLF MINING COMPANY","WELLS AUGER MINING INC","DAUSS FORK SURFACE MINE",0,0,"Phase III Release","Released","Coal Surface Mine",132.75,65.18,132.75,65.18,1997-12-07,1982-12-07,"Forestland","Combined",1,-999,-999,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S012382&dep_office_id=OMR&responsible_party_name=BLACK WOLF MINING COMPANY",0,"[2156]",392.28611427,160513.48004,240770.22006,321026.96001,160513.48004,240770.22006,321026.96001
"S400893","BLACK WOLF MINING COMPANY","EDWARDS HOLDING INC","SKYTOP SURFACE MINE",0,0,"Phase III Release","Released","Coal Surface Mine",161.78,128.97,160.98,122.31,1998-12-07,1993-12-07,"Forestland","Fish and Wildlife Habitat/Recreation",1,-999,8,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400893&dep_office_id=OMR&responsible_party_name=BLACK WOLF MINING COMPANY",0,"[2170]",117.027242,48272.38263,72408.57395,96544.76527,48272.38263,72408.57395,96544.76527
"S400399","BLUESTONE COAL CORPORATION","JUSTICE HIGHWALL MINING, INC.","Payne Branch Surface Mine",1955000,1955000,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",596.67,102.7,596.67,424.07,2026-06-26,2001-06-26,"Commercial Woodland",NA,1,2,27,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400399&dep_office_id=OMR&responsible_party_name=BLUESTONE COAL CORPORATION",1955000,"[2252]",202.6224414,68779.02164,103168.53247,137558.04329,-1886220.97836,-1851831.46753,-1817441.95671
"S401301","BLUESTONE COAL CORPORATION","Bluestone Coal Corporation","Poca No. 11 Contour Auger No.2",829920,829920,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",579.62,121.53,510,46.29,2028-09-08,2003-09-08,"Forestland",NA,1,39,91,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S401301&dep_office_id=OMR&responsible_party_name=BLUESTONE COAL CORPORATION",829920,"[2267]",200.43551921,118502.087313,177753.130995,237004.174596,-711417.912687,-652166.869005,-592915.825404
"S201002","BROOKS RUN MINING COMPANY, LLC","","Seven Pines Mine",5098700,5098700,"A4-Active, No coal removed","Bonded","Coal Surface Mine",1617.34,730.87,1615.11,584.31,2024-04-16,2004-04-16,"Forestland","Commercial Forestry",1,76,163,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S201002&dep_office_id=OMR&responsible_party_name=BROOKS RUN MINING COMPANY, LLC",5098700,"[2446, 2447, 2450]",943.3539356,448691.421911,673037.132891,897382.843782,-4650008.578089,-4425662.867109,-4201317.156218
"S200205","BROOKS RUN MINING COMPANY, LLC","","Brandy Station Mine",90400,90400,"A4-Active, No coal removed","Bonded","Coal Surface Mine",32.7,19.02,121,0,2026-06-08,2006-06-08,"Forestland",NA,1,32,47,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S200205&dep_office_id=OMR&responsible_party_name=BROOKS RUN MINING COMPANY, LLC",90400,"[2440]",999.58129293,398672.082103,598008.123269,797344.164336,308272.082103,507608.123269,706944.164336
